index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3901190,1,0,0,Julien Féret,Caen,2,Caen,Pass,From Kick Off,,,0.509132,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3901190,1,0,1,Andy Delort,Caen,2,Caen,Carry,From Kick Off,,,0.04,,,0,58.8,39.5,1,0,0,draw,0,1,0
8,3901190,1,0,1,Andy Delort,Caen,2,Caen,Pass,From Kick Off,,,1.767162,,,0,58.8,39.5,1,0,0,draw,0,1,0
10,3901190,1,0,3,Damien Da Silva,Caen,2,Caen,Carry,From Kick Off,,,1.931772,,,0,38.7,23.4,3,0,0,draw,0,3,0
11,3901190,1,0,5,Damien Da Silva,Caen,2,Caen,Pass,From Kick Off,,,2.695766,,,0,38.7,26.9,5,0,0,draw,0,5,0
13,3901190,1,0,7,Ronny Rodelin,Caen,2,Caen,Pass,From Kick Off,,,1.287041,,,0,77.2,74.4,7,0,0,draw,0,7,0
14,3901190,1,0,8,Thiago Xavier Rodrigues Corrêa,Troyes,2,Caen,Pressure,From Kick Off,,,0.452773,,,0,37.5,17.1,8,0,0,draw,0,8,0
15,3901190,1,0,8,Quentin Othon,Troyes,2,Caen,Pressure,From Kick Off,,,0.332747,,,0,38.9,17.9,8,0,0,draw,0,8,0
16,3901190,1,0,8,Yoann Court,Troyes,2,Caen,Pressure,From Kick Off,,,0.327762,,,0,40.2,17.7,8,0,0,draw,0,8,0
18,3901190,1,0,9,Dennis Appiah,Caen,2,Caen,Carry,From Kick Off,,,0.064626,,,0,82.8,62.2,9,0,0,draw,0,9,0
19,3901190,1,0,9,Dennis Appiah,Caen,2,Caen,Pass,From Kick Off,,,0.610301,Unknown,,0,81.4,62.9,9,0,0,draw,0,9,0
21,3901190,1,0,9,Dennis Appiah,Caen,2,Caen,Foul Committed,From Kick Off,,,0.0,,,0,89.8,62.4,9,0,0,draw,0,9,0
22,3901190,1,0,9,Thiago Xavier Rodrigues Corrêa,Troyes,2,Caen,Foul Won,From Kick Off,,,0.0,,,0,30.3,17.7,9,0,0,draw,0,9,0
23,3901190,1,0,26,Matthieu Saunier,Troyes,3,Troyes,Pass,From Free Kick,,,3.28342,Incomplete,,0,33.4,15.1,26,0,0,draw,0,26,0
25,3901190,1,0,30,Alexandre Raineau,Caen,4,Caen,Pass,Regular Play,,,2.159308,,,0,34.8,17.5,30,0,0,draw,0,30,0
27,3901190,1,0,32,Benjamin Nivet,Troyes,4,Caen,Duel,Regular Play,Aerial Lost,,0.0,,,0,78.0,58.5,32,0,0,draw,0,32,0
28,3901190,1,0,32,Julien Féret,Caen,4,Caen,Pass,Regular Play,,,1.374277,,,0,42.1,21.6,32,0,0,draw,0,32,0
29,3901190,1,0,33,Stéphane Darbion,Troyes,4,Caen,Pressure,Regular Play,,,0.329294,,,0,80.9,61.2,33,0,0,draw,0,33,0
31,3901190,1,0,33,Nicolas Seube,Caen,4,Caen,Pass,Regular Play,,,1.237051,,,0,39.4,20.5,33,0,0,draw,0,33,0
33,3901190,1,0,34,Hervé Bazile,Caen,4,Caen,Pass,Regular Play,,,0.838699,,,0,47.6,12.1,34,0,0,draw,0,34,0
35,3901190,1,0,35,Alexandre Raineau,Caen,4,Caen,Carry,Regular Play,,,0.81471,,,0,40.0,12.1,35,0,0,draw,0,35,0
36,3901190,1,0,36,Alexandre Raineau,Caen,4,Caen,Pass,Regular Play,,,2.611303,,,0,39.4,10.0,36,0,0,draw,0,36,0
38,3901190,1,0,39,Andy Delort,Caen,4,Caen,Carry,Regular Play,,,2.543572,,,0,78.5,2.7,39,0,0,draw,0,39,0
39,3901190,1,0,41,Andy Delort,Caen,4,Caen,Pass,Regular Play,,,5.300931,Incomplete,,0,79.0,4.2,41,0,0,draw,0,41,0
40,3901190,1,0,46,Ronny Rodelin,Caen,4,Caen,Pressure,Regular Play,,,1.461664,,,0,115.8,61.2,46,0,0,draw,0,46,0
42,3901190,1,0,47,Quentin Othon,Troyes,4,Caen,Ball Recovery,Regular Play,,,0.0,,,0,2.9,16.8,47,0,0,draw,0,47,0
43,3901190,1,0,48,Ronny Rodelin,Caen,4,Caen,Ball Recovery,Regular Play,,,0.0,,,0,117.6,65.0,48,0,0,draw,0,48,0
44,3901190,1,0,48,Ronny Rodelin,Caen,4,Caen,Carry,Regular Play,,,3.379912,,,0,117.6,65.0,48,0,0,draw,0,48,0
45,3901190,1,0,48,Quentin Othon,Troyes,4,Caen,Pressure,Regular Play,,,3.020383,,,0,2.8,13.9,48,0,0,draw,0,48,0
46,3901190,1,0,51,Ronny Rodelin,Caen,4,Caen,Dispossessed,Regular Play,,,0.0,,,0,117.2,77.2,51,0,0,draw,0,51,0
47,3901190,1,0,51,Quentin Othon,Troyes,4,Caen,Duel,Regular Play,Tackle,Lost Out,0.0,,,0,2.9,2.9,51,0,0,draw,0,51,0
48,3901190,1,0,55,Ronny Rodelin,Caen,5,Caen,Pass,From Throw In,,,2.551942,,,0,117.3,80.0,55,0,0,draw,0,55,0
50,3901190,1,0,57,Nicolas Seube,Caen,5,Caen,Carry,From Throw In,,,1.905386,,,0,91.6,68.8,57,0,0,draw,0,57,0
51,3901190,1,0,59,Nicolas Seube,Caen,5,Caen,Pass,From Throw In,,,0.629212,,,0,90.7,74.5,59,0,0,draw,0,59,0
53,3901190,1,1,0,Dennis Appiah,Caen,5,Caen,Carry,From Throw In,,,1.691494,,,0,96.4,74.9,60,0,0,draw,0,60,0
54,3901190,1,1,1,Yoann Court,Troyes,5,Caen,Pressure,From Throw In,,,1.15316,,,0,24.8,3.5,61,0,0,draw,0,61,0
55,3901190,1,1,1,Chaouki Ben Saada,Troyes,5,Caen,Pressure,From Throw In,,,0.732076,,,0,26.5,2.3,61,0,0,draw,0,61,0
56,3901190,1,1,2,Dennis Appiah,Caen,5,Caen,Pass,From Throw In,,,0.05717,Incomplete,,0,94.1,78.0,62,0,0,draw,0,62,0
58,3901190,1,1,2,Yoann Court,Troyes,5,Caen,Block,From Throw In,,,0.0,,,0,24.9,2.3,62,0,0,draw,0,62,0
59,3901190,1,1,2,Dennis Appiah,Caen,5,Caen,Ball Recovery,From Throw In,,,0.0,,,0,90.9,77.2,62,0,0,draw,0,62,0
60,3901190,1,1,2,Dennis Appiah,Caen,5,Caen,Carry,From Throw In,,,3.59989,,,0,90.9,77.2,62,0,0,draw,0,62,0
61,3901190,1,1,3,Yoann Court,Troyes,5,Caen,Pressure,From Throw In,,,0.72654,,,0,29.2,2.9,63,0,0,draw,0,63,0
62,3901190,1,1,4,Thiago Xavier Rodrigues Corrêa,Troyes,5,Caen,Pressure,From Throw In,,,0.465288,,,0,25.4,13.0,64,0,0,draw,0,64,0
63,3901190,1,1,6,Dennis Appiah,Caen,5,Caen,Pass,From Throw In,,,0.751207,Incomplete,,0,108.0,59.2,66,0,0,draw,0,66,0
64,3901190,1,1,6,Julien Féret,Caen,5,Caen,Pressure,From Throw In,,,0.269468,,,0,107.7,45.3,66,0,0,draw,0,66,0
66,3901190,1,1,7,Carlos Eduardo de Castro Lourenço,Troyes,5,Caen,Clearance,From Throw In,,,0.0,,,0,12.7,35.0,67,0,0,draw,0,67,0
67,3901190,1,1,9,Damien Da Silva,Caen,5,Caen,Ball Recovery,From Throw In,,,0.0,,,0,86.3,36.4,69,0,0,draw,0,69,0
68,3901190,1,1,9,Damien Da Silva,Caen,5,Caen,Carry,From Throw In,,,1.945631,,,0,86.3,36.4,69,0,0,draw,0,69,0
69,3901190,1,1,9,Corentin Jean,Troyes,5,Caen,Pressure,From Throw In,,,0.716496,,,0,34.3,43.7,69,0,0,draw,0,69,0
70,3901190,1,1,10,Benjamin Nivet,Troyes,5,Caen,Pressure,From Throw In,,,0.639385,,,0,34.9,44.3,70,0,0,draw,0,70,0
71,3901190,1,1,11,Damien Da Silva,Caen,5,Caen,Dispossessed,From Throw In,,,0.0,,,0,85.2,35.7,71,0,0,draw,0,71,0
72,3901190,1,1,11,Benjamin Nivet,Troyes,5,Caen,Duel,From Throw In,Tackle,Success In Play,0.0,,,0,34.9,44.4,71,0,0,draw,0,71,0
73,3901190,1,1,12,Corentin Jean,Troyes,5,Caen,Ball Recovery,From Throw In,,,0.0,,,0,43.3,59.1,72,0,0,draw,0,72,0
74,3901190,1,1,12,Corentin Jean,Troyes,5,Caen,Carry,From Throw In,,,4.908145,,,0,43.3,59.1,72,0,0,draw,0,72,0
75,3901190,1,1,17,Corentin Jean,Troyes,5,Caen,Pass,From Throw In,,,0.355313,Incomplete,,0,82.4,62.6,77,0,0,draw,0,77,0
76,3901190,1,1,17,Julien Féret,Caen,5,Caen,Block,From Throw In,,,0.0,,,0,38.8,27.0,77,0,0,draw,0,77,0
77,3901190,1,1,18,Alexandre Raineau,Caen,5,Caen,Block,From Throw In,,,0.0,,,0,39.2,25.9,78,0,0,draw,0,78,0
78,3901190,1,1,19,Corentin Jean,Troyes,5,Caen,Pressure,From Throw In,,,0.855265,,,0,100.7,54.8,79,0,0,draw,0,79,0
79,3901190,1,1,20,Damien Da Silva,Caen,5,Caen,Pass,From Throw In,,,2.932774,,,0,16.6,30.2,80,0,0,draw,0,80,0
80,3901190,1,1,22,Corentin Jean,Troyes,5,Caen,Pressure,From Throw In,,,0.962678,,,0,112.8,35.9,82,0,0,draw,0,82,0
82,3901190,1,1,23,Rémy Vercoutre,Caen,5,Caen,Pass,From Throw In,,,2.892578,,,0,2.9,49.7,83,0,0,draw,0,83,0
84,3901190,1,1,26,Dennis Appiah,Caen,5,Caen,Pass,From Throw In,,,2.009559,Incomplete,,0,43.0,57.5,86,0,0,draw,0,86,0
86,3901190,1,1,28,Thiago Xavier Rodrigues Corrêa,Troyes,5,Caen,Pass,From Throw In,,,1.166059,Incomplete,,0,70.3,33.6,88,0,0,draw,0,88,0
88,3901190,1,1,29,Ronny Rodelin,Caen,5,Caen,Ball Recovery,From Throw In,,,0.0,,,0,52.1,56.9,89,0,0,draw,0,89,0
89,3901190,1,1,29,Ronny Rodelin,Caen,5,Caen,Carry,From Throw In,,,0.899244,,,0,52.1,56.9,89,0,0,draw,0,89,0
90,3901190,1,1,30,Ronny Rodelin,Caen,5,Caen,Pass,From Throw In,,,1.972843,Incomplete,,0,54.2,57.5,90,0,0,draw,0,90,0
92,3901190,1,1,32,Carlos Eduardo de Castro Lourenço,Troyes,6,Troyes,Pass,Regular Play,,,2.566752,,,0,37.0,46.1,92,0,0,draw,0,92,0
94,3901190,1,1,34,Aloïs Confais,Troyes,6,Troyes,Carry,Regular Play,,,0.219274,,,0,29.5,65.8,94,0,0,draw,0,94,0
95,3901190,1,1,34,Aloïs Confais,Troyes,6,Troyes,Pass,Regular Play,,,1.7404,,,0,29.4,66.3,94,0,0,draw,0,94,0
97,3901190,1,1,36,Stéphane Darbion,Troyes,6,Troyes,Carry,Regular Play,,,1.602075,,,0,52.8,77.0,96,0,0,draw,0,96,0
98,3901190,1,1,36,Alexandre Raineau,Caen,6,Troyes,Pressure,Regular Play,,,1.482018,,,0,70.9,5.3,96,0,0,draw,0,96,0
99,3901190,1,1,38,Stéphane Darbion,Troyes,6,Troyes,Pass,Regular Play,,,1.125705,,,0,44.2,77.4,98,0,0,draw,0,98,0
101,3901190,1,1,39,Benjamin Nivet,Troyes,6,Troyes,Carry,Regular Play,,,1.100048,,,0,43.7,66.3,99,0,0,draw,0,99,0
102,3901190,1,1,39,Julien Féret,Caen,6,Troyes,Pressure,Regular Play,,,0.835446,,,0,76.4,14.3,99,0,0,draw,0,99,0
103,3901190,1,1,40,Benjamin Nivet,Troyes,6,Troyes,Pass,Regular Play,,,1.929984,,,0,40.5,65.7,100,0,0,draw,0,100,0
105,3901190,1,1,42,Matthieu Saunier,Troyes,6,Troyes,Carry,Regular Play,,,0.676322,,,0,27.8,50.4,102,0,0,draw,0,102,0
106,3901190,1,1,43,Matthieu Saunier,Troyes,6,Troyes,Pass,Regular Play,,,1.0118,,,0,30.4,50.5,103,0,0,draw,0,103,0
108,3901190,1,1,44,Chaouki Ben Saada,Troyes,6,Troyes,Carry,Regular Play,,,1.279785,,,0,47.6,35.0,104,0,0,draw,0,104,0
109,3901190,1,1,44,Jordan Leborgne,Caen,6,Troyes,Pressure,Regular Play,,,1.092299,,,0,76.2,45.6,104,0,0,draw,0,104,0
110,3901190,1,1,45,Chaouki Ben Saada,Troyes,6,Troyes,Pass,Regular Play,,,1.877511,,,0,42.2,31.6,105,0,0,draw,0,105,0
112,3901190,1,1,47,Quentin Othon,Troyes,6,Troyes,Carry,Regular Play,,,1.275125,,,0,32.3,5.6,107,0,0,draw,0,107,0
113,3901190,1,1,48,Quentin Othon,Troyes,6,Troyes,Pass,Regular Play,,,1.360232,,,0,37.6,3.5,108,0,0,draw,0,108,0
115,3901190,1,1,49,Matthieu Saunier,Troyes,6,Troyes,Carry,Regular Play,,,2.369868,,,0,31.2,29.9,109,0,0,draw,0,109,0
116,3901190,1,1,52,Matthieu Saunier,Troyes,6,Troyes,Pass,Regular Play,,,1.45376,,,0,35.5,33.1,112,0,0,draw,0,112,0
117,3901190,1,1,53,Nicolas Seube,Caen,6,Troyes,Pressure,Regular Play,,,0.731693,,,0,57.7,45.9,113,0,0,draw,0,113,0
119,3901190,1,1,53,Benjamin Nivet,Troyes,6,Troyes,Carry,Regular Play,,,0.12,,,0,61.3,34.2,113,0,0,draw,0,113,0
120,3901190,1,1,53,Benjamin Nivet,Troyes,6,Troyes,Pass,Regular Play,,,1.24094,,,0,62.7,35.0,113,0,0,draw,0,113,0
121,3901190,1,1,54,Alexandre Raineau,Caen,6,Troyes,Pressure,Regular Play,,,0.421115,,,0,55.0,28.0,114,0,0,draw,0,114,0
123,3901190,1,1,55,Stéphane Darbion,Troyes,6,Troyes,Carry,Regular Play,,,0.012420001,,,0,65.1,53.1,115,0,0,draw,0,115,0
124,3901190,1,1,55,Stéphane Darbion,Troyes,6,Troyes,Pass,Regular Play,,,7.963455,Out,,0,65.1,51.0,115,0,0,draw,0,115,0
125,3901190,1,2,2,Corentin Jean,Troyes,6,Troyes,Pressure,Regular Play,,,0.730938,,,0,115.1,4.5,122,0,0,draw,0,122,0
126,3901190,1,2,2,Alaeddine Yahia,Caen,6,Troyes,Shield,Regular Play,,,0.0,,,0,4.4,76.2,122,0,0,draw,0,122,0
128,3901190,1,2,17,Dennis Appiah,Caen,7,Caen,Pass,From Throw In,,,1.571759,,,0,5.0,80.0,137,0,0,draw,0,137,0
130,3901190,1,2,18,Ronny Rodelin,Caen,7,Caen,Pass,From Throw In,,,1.189513,,,0,28.2,76.0,138,0,0,draw,0,138,0
132,3901190,1,2,20,Matthieu Saunier,Troyes,7,Caen,Duel,From Throw In,Aerial Lost,,0.0,,,0,75.1,5.0,140,0,0,draw,0,140,0
133,3901190,1,2,20,Andy Delort,Caen,7,Caen,Miscontrol,From Throw In,,,0.0,,,0,45.0,75.1,140,0,0,draw,0,140,0
134,3901190,1,2,22,Andy Delort,Caen,7,Caen,Ball Recovery,From Throw In,,,0.0,,,0,48.2,72.7,142,0,0,draw,0,142,0
135,3901190,1,2,22,Quentin Othon,Troyes,7,Caen,Pressure,From Throw In,,,0.322742,,,0,72.5,9.4,142,0,0,draw,0,142,0
136,3901190,1,2,23,Chaouki Ben Saada,Troyes,8,Troyes,Pass,Regular Play,,,2.877991,,,0,72.3,14.0,143,0,0,draw,0,143,0
138,3901190,1,2,26,Carlos Eduardo de Castro Lourenço,Troyes,8,Troyes,Carry,Regular Play,,,1.046676,,,0,59.6,31.4,146,0,0,draw,0,146,0
139,3901190,1,2,27,Carlos Eduardo de Castro Lourenço,Troyes,8,Troyes,Pass,Regular Play,,,3.220664,,,0,54.7,36.2,147,0,0,draw,0,147,0
141,3901190,1,2,30,Matthieu Dreyer,Troyes,8,Troyes,Carry,Regular Play,,,0.079999,,,0,19.0,35.3,150,0,0,draw,0,150,0
142,3901190,1,2,30,Matthieu Dreyer,Troyes,8,Troyes,Pass,Regular Play,,,1.308689,,,0,19.6,36.6,150,0,0,draw,0,150,0
144,3901190,1,2,31,Matthieu Saunier,Troyes,8,Troyes,Carry,Regular Play,,,2.152354,,,0,37.5,22.3,151,0,0,draw,0,151,0
145,3901190,1,2,33,Matthieu Saunier,Troyes,8,Troyes,Pass,Regular Play,,,4.174629,,,0,40.2,24.6,153,0,0,draw,0,153,0
146,3901190,1,2,37,Dennis Appiah,Caen,8,Troyes,Pressure,Regular Play,,,0.972386,,,0,10.5,63.9,157,0,0,draw,0,157,0
148,3901190,1,2,38,Corentin Jean,Troyes,8,Troyes,Carry,Regular Play,,,0.519793,,,0,111.0,17.7,158,0,0,draw,0,158,0
149,3901190,1,2,38,Corentin Jean,Troyes,8,Troyes,Pass,Regular Play,,,4.900121,Incomplete,,0,113.4,18.3,158,0,0,draw,0,158,0
151,3901190,1,2,43,Alexandre Raineau,Caen,8,Troyes,Pass,Regular Play,,,4.076276,Incomplete,,0,4.4,17.5,163,0,0,draw,0,163,0
152,3901190,1,2,47,Carlos Eduardo de Castro Lourenço,Troyes,8,Troyes,Ball Recovery,Regular Play,,,0.0,,,0,54.7,75.3,167,0,0,draw,0,167,0
153,3901190,1,2,47,Carlos Eduardo de Castro Lourenço,Troyes,8,Troyes,Carry,Regular Play,,,1.246618,,,0,54.7,75.3,167,0,0,draw,0,167,0
154,3901190,1,2,48,Carlos Eduardo de Castro Lourenço,Troyes,8,Troyes,Pass,Regular Play,,,0.175407,Incomplete,,0,57.5,79.1,168,0,0,draw,0,168,0
156,3901190,1,2,48,Julien Féret,Caen,8,Troyes,Block,Regular Play,,,0.0,,,0,60.9,0.5,168,0,0,draw,0,168,0
157,3901190,1,3,1,Aloïs Confais,Troyes,9,Troyes,Pass,From Throw In,,,0.592952,,,0,53.8,80.0,181,0,0,draw,0,181,0
158,3901190,1,3,1,Nicolas Seube,Caen,9,Troyes,Pressure,From Throw In,,,0.490471,,,0,62.6,5.9,181,0,0,draw,0,181,0
160,3901190,1,3,1,Benjamin Nivet,Troyes,9,Troyes,Carry,From Throw In,,,0.683994,,,0,57.5,74.2,181,0,0,draw,0,181,0
161,3901190,1,3,2,Benjamin Nivet,Troyes,9,Troyes,Pass,From Throw In,,,0.69253,Incomplete,,0,57.6,75.1,182,0,0,draw,0,182,0
163,3901190,1,3,3,Hervé Bazile,Caen,9,Troyes,Pass,From Throw In,,,1.104987,Incomplete,,0,67.5,2.7,183,0,0,draw,0,183,0
164,3901190,1,3,3,Julien Féret,Caen,9,Troyes,Pressure,From Throw In,,,0.453194,,,0,67.5,10.0,183,0,0,draw,0,183,0
166,3901190,1,3,4,Benjamin Nivet,Troyes,9,Troyes,Interception,From Throw In,,,0.0,,,0,52.8,71.2,184,0,0,draw,0,184,0
167,3901190,1,3,5,Alexandre Raineau,Caen,10,Caen,Pass,Regular Play,,,0.848734,,,0,66.3,2.2,185,0,0,draw,0,185,0
169,3901190,1,3,5,Hervé Bazile,Caen,10,Caen,Carry,Regular Play,,,0.672329,,,0,69.3,3.3,185,0,0,draw,0,185,0
170,3901190,1,3,5,Benjamin Nivet,Troyes,10,Caen,Pressure,Regular Play,,,0.345131,,,0,49.4,76.2,185,0,0,draw,0,185,0
171,3901190,1,3,6,Hervé Bazile,Caen,10,Caen,Pass,Regular Play,,,0.807072,,,0,70.7,3.9,186,0,0,draw,0,186,0
173,3901190,1,3,7,Nicolas Seube,Caen,10,Caen,Carry,Regular Play,,,1.849984,,,0,64.1,5.4,187,0,0,draw,0,187,0
174,3901190,1,3,8,Stéphane Darbion,Troyes,10,Caen,Pressure,Regular Play,,,0.467064,,,0,54.9,73.6,188,0,0,draw,0,188,0
175,3901190,1,3,8,Benjamin Nivet,Troyes,10,Caen,Pressure,Regular Play,,,0.454317,,,0,52.1,70.9,188,0,0,draw,0,188,0
176,3901190,1,3,9,Nicolas Seube,Caen,10,Caen,Pass,Regular Play,,,0.153788,Incomplete,,0,67.6,12.1,189,0,0,draw,0,189,0
177,3901190,1,3,9,Benjamin Nivet,Troyes,10,Caen,Block,Regular Play,,,0.0,,,0,51.4,67.7,189,0,0,draw,0,189,0
178,3901190,1,3,19,Alexandre Raineau,Caen,11,Caen,Pass,From Throw In,,,1.076029,,,0,68.3,0.1,199,0,0,draw,0,199,0
180,3901190,1,3,21,Damien Da Silva,Caen,11,Caen,Pass,From Throw In,,,1.362112,,,0,46.6,14.3,201,0,0,draw,0,201,0
182,3901190,1,3,22,Alaeddine Yahia,Caen,11,Caen,Carry,From Throw In,,,3.433064,,,0,46.7,41.2,202,0,0,draw,0,202,0
183,3901190,1,3,26,Alaeddine Yahia,Caen,11,Caen,Pass,From Throw In,,,1.815943,,,0,48.9,48.4,206,0,0,draw,0,206,0
185,3901190,1,3,27,Damien Da Silva,Caen,11,Caen,Carry,From Throw In,,,1.519179,,,0,48.2,21.6,207,0,0,draw,0,207,0
186,3901190,1,3,29,Damien Da Silva,Caen,11,Caen,Pass,From Throw In,,,1.155167,,,0,51.6,23.0,209,0,0,draw,0,209,0
188,3901190,1,3,30,Alexandre Raineau,Caen,11,Caen,Carry,From Throw In,,,0.961467,,,0,59.9,5.9,210,0,0,draw,0,210,0
189,3901190,1,3,31,Alexandre Raineau,Caen,11,Caen,Pass,From Throw In,,,1.147741,,,0,59.9,5.3,211,0,0,draw,0,211,0
191,3901190,1,3,32,Damien Da Silva,Caen,11,Caen,Carry,From Throw In,,,2.671476,,,0,51.6,8.9,212,0,0,draw,0,212,0
192,3901190,1,3,35,Damien Da Silva,Caen,11,Caen,Pass,From Throw In,,,1.615341,,,0,48.7,22.7,215,0,0,draw,0,215,0
194,3901190,1,3,36,Alaeddine Yahia,Caen,11,Caen,Carry,From Throw In,,,3.345281,,,0,47.5,49.1,216,0,0,draw,0,216,0
195,3901190,1,3,40,Alaeddine Yahia,Caen,11,Caen,Pass,From Throw In,,,0.978657,,,0,52.1,65.6,220,0,0,draw,0,220,0
197,3901190,1,3,41,Dennis Appiah,Caen,11,Caen,Carry,From Throw In,,,0.357352,,,0,67.3,75.7,221,0,0,draw,0,221,0
198,3901190,1,3,41,Yoann Court,Troyes,11,Caen,Pressure,From Throw In,,,0.609471,,,0,52.8,4.5,221,0,0,draw,0,221,0
199,3901190,1,3,41,Dennis Appiah,Caen,11,Caen,Miscontrol,From Throw In,,,0.0,,,0,67.3,75.6,221,0,0,draw,0,221,0
200,3901190,1,3,52,Quentin Othon,Troyes,12,Troyes,Pass,From Throw In,,,1.443735,,,0,59.6,0.1,232,0,0,draw,0,232,0
202,3901190,1,3,54,Thiago Xavier Rodrigues Corrêa,Troyes,12,Troyes,Carry,From Throw In,,,0.091141,,,0,58.0,24.0,234,0,0,draw,0,234,0
203,3901190,1,3,54,Thiago Xavier Rodrigues Corrêa,Troyes,12,Troyes,Pass,From Throw In,,,2.327171,Pass Offside,,0,57.0,22.1,234,0,0,draw,0,234,0
205,3901190,1,4,19,Rémy Vercoutre,Caen,13,Caen,Pass,From Free Kick,,,3.254922,Incomplete,,0,33.9,55.5,259,0,0,draw,0,259,0
207,3901190,1,4,22,Ronny Rodelin,Caen,13,Caen,Duel,From Free Kick,Aerial Lost,,0.0,,,0,86.3,65.0,262,0,0,draw,0,262,0
208,3901190,1,4,22,Thiago Xavier Rodrigues Corrêa,Troyes,13,Caen,Clearance,From Free Kick,,,0.0,,,0,33.8,15.1,262,0,0,draw,0,262,0
209,3901190,1,4,24,Ronny Rodelin,Caen,13,Caen,Duel,From Free Kick,Aerial Lost,,0.0,,,0,87.5,57.2,264,0,0,draw,0,264,0
210,3901190,1,4,24,Chaouki Ben Saada,Troyes,13,Caen,Pass,From Free Kick,,,1.308249,,,0,32.6,22.9,264,0,0,draw,0,264,0
212,3901190,1,4,25,Thiago Xavier Rodrigues Corrêa,Troyes,13,Caen,Carry,From Free Kick,,,0.122057,,,0,32.1,16.2,265,0,0,draw,0,265,0
213,3901190,1,4,25,Thiago Xavier Rodrigues Corrêa,Troyes,13,Caen,Pass,From Free Kick,,,2.150205,Incomplete,,0,32.7,16.2,265,0,0,draw,0,265,0
215,3901190,1,4,27,Alaeddine Yahia,Caen,13,Caen,Pass,From Free Kick,,,3.204521,,,0,59.2,66.1,267,0,0,draw,0,267,0
217,3901190,1,4,31,Andy Delort,Caen,13,Caen,Pass,From Free Kick,,,1.518,Incomplete,,0,90.9,53.4,271,0,0,draw,0,271,0
218,3901190,1,4,31,Matthieu Saunier,Troyes,13,Caen,Duel,From Free Kick,Aerial Lost,,0.0,,,0,29.2,26.7,271,0,0,draw,0,271,0
219,3901190,1,4,32,Quentin Othon,Troyes,13,Caen,Clearance,From Free Kick,,,0.0,,,0,30.4,18.3,272,0,0,draw,0,272,0
220,3901190,1,4,49,Dennis Appiah,Caen,14,Caen,Pass,From Throw In,,,0.879731,,,0,59.2,80.0,289,0,0,draw,0,289,0
222,3901190,1,4,50,Nicolas Seube,Caen,14,Caen,Pass,From Throw In,,,0.594608,,,0,59.2,68.5,290,0,0,draw,0,290,0
224,3901190,1,4,51,Dennis Appiah,Caen,14,Caen,Carry,From Throw In,,,0.970131,,,0,57.7,75.6,291,0,0,draw,0,291,0
225,3901190,1,4,51,Chaouki Ben Saada,Troyes,14,Caen,Pressure,From Throw In,,,0.589397,,,0,61.0,3.9,291,0,0,draw,0,291,0
226,3901190,1,4,52,Dennis Appiah,Caen,14,Caen,Pass,From Throw In,,,0.682658,,,0,59.9,76.2,292,0,0,draw,0,292,0
228,3901190,1,4,52,Nicolas Seube,Caen,14,Caen,Pass,From Throw In,,,1.742993,,,0,58.8,68.4,292,0,0,draw,0,292,0
230,3901190,1,4,54,Andy Delort,Caen,14,Caen,Pass,From Throw In,,,0.822333,,,0,74.2,63.3,294,0,0,draw,0,294,0
232,3901190,1,4,55,Dennis Appiah,Caen,14,Caen,Carry,From Throw In,,,0.641265,,,0,67.3,75.7,295,0,0,draw,0,295,0
233,3901190,1,4,56,Dennis Appiah,Caen,14,Caen,Pass,From Throw In,,,0.178706,Incomplete,,0,66.4,77.2,296,0,0,draw,0,296,0
235,3901190,1,4,56,Yoann Court,Troyes,14,Caen,Block,From Throw In,,,0.0,,,0,51.8,3.5,296,0,0,draw,0,296,0
236,3901190,1,5,0,Dennis Appiah,Caen,15,Caen,Pass,From Throw In,,,0.873848,,,0,65.4,80.0,300,0,0,draw,0,300,0
238,3901190,1,5,1,Andy Delort,Caen,15,Caen,Carry,From Throw In,,,3.505556,,,0,76.8,68.4,301,0,0,draw,0,301,0
239,3901190,1,5,3,Thiago Xavier Rodrigues Corrêa,Troyes,15,Caen,Pressure,From Throw In,,,1.39304,,,0,43.7,8.5,303,0,0,draw,0,303,0
240,3901190,1,5,5,Andy Delort,Caen,15,Caen,Pass,From Throw In,,,0.581857,Incomplete,,0,80.2,74.6,305,0,0,draw,0,305,0
242,3901190,1,5,5,Quentin Othon,Troyes,15,Caen,Interception,From Throw In,,,0.0,,,0,34.3,5.2,305,0,0,draw,0,305,0
243,3901190,1,5,6,Yoann Court,Troyes,15,Caen,Pressure,From Throw In,,,0.475954,,,0,42.8,7.3,306,0,0,draw,0,306,0
244,3901190,1,5,7,Ronny Rodelin,Caen,15,Caen,Ball Recovery,From Throw In,,,0.0,,,0,77.0,72.7,307,0,0,draw,0,307,0
245,3901190,1,5,7,Ronny Rodelin,Caen,15,Caen,Carry,From Throw In,,,0.205558,,,0,77.0,72.7,307,0,0,draw,0,307,0
246,3901190,1,5,7,Ronny Rodelin,Caen,15,Caen,Dribble,From Throw In,,,0.0,,,0,77.0,71.9,307,0,0,draw,0,307,0
